index,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance,distance_to_next_point_meters,cum_distance
41334,267.92,1,-96.2952076,32.9794904,168.599395751953,139.145955511936,1724422999081,4,-90,-11,-59,3,3f,NaN,0,63.5600640480846
41335,267.92,1,-96.2952076,32.9794904,168.599395751953,139.145955511936,1724423000089,4,-90,-11,-59,3,3f,NaN,0,63.5600640480846
41336,267.92,1,-96.2952076,32.9794904,168.599395751953,139.145955511936,1724423001091,4,-91,-11,-63,3,3f,NaN,0.0210360118326677,63.5811000599173
41337,267.92,1,-96.2952076,32.9794905891814,168.599334716797,139.139112312321,1724423002091,4,-91,-11,-63,3,3f,NaN,0.0212702214129656,63.6023702813303
41338,267.92,1,-96.2952076,32.9794907804691,168.599258422852,139.132192923237,1724423003090,4,-92,-12,-61,3,3f,NaN,0.00217173714187665,63.6045420184721
41339,267.92,1,-96.2952076,32.9794908,168.599258422852,139.131486439066,1724423004090,4,-92,-12,-61,3,3f,NaN,0,63.6045420184721
41340,267.92,1,-96.2952076,32.9794908,168.599258422852,139.131486439066,1724423005104,4,-92,-12,-61,3,3f,NaN,0,63.6045420184721
41341,267.92,1,-96.2952076,32.9794908,168.599258422852,139.131486439066,1724423006107,4,-92,-12,-61,3,3f,NaN,0.0109642864308698,63.615506304903
41342,267.92,1,-96.2952076,32.9794908986042,168.599212646484,139.131486439066,1724423007106,3,-89,-13,-59,3,3f,NaN,0.000155206363529533,63.6156615112665
41343,267.92,1,-96.2952076,32.9794909,168.599212646484,139.131486439066,1724423008109,3,-89,-13,-59,3,3f,NaN,0,63.6156615112665
41344,267.92,1,-96.2952076,32.9794909,168.599212646484,139.131486439066,1724423009110,4,-92,-12,-61,3,3f,NaN,0,63.6156615112665
41345,267.92,1,-96.2952076,32.9794909,168.599212646484,139.131486439066,1724423010114,4,-92,-12,-61,3,3f,NaN,0,63.6156615112665
41346,267.92,1,-96.2952076,32.9794909,168.599212646484,139.131486439066,1724423011119,4,-93,-13,-61,3,3f,NaN,0,63.6156615112665
41347,267.92,1,-96.2952076,32.9794909,168.599212646484,139.131486439066,1724423012116,4,-93,-13,-61,3,3f,NaN,0.0425595924292455,63.6582211036958
41348,267.92,1,-96.2952076475826,32.9794905193394,168.599380493164,139.152945183171,1724423013123,4,-95,-12,-65,3,3f,NaN,0.0429021270877212,63.7011232307835
41349,267.92,1,-96.2952076955481,32.9794901356151,168.599533081055,139.174576633466,1724423014125,4,-95,-12,-65,3,3f,NaN,0.00398193108005541,63.7051051618636
41350,267.92,1,-96.2952077,32.9794901,168.599548339844,139.176584342924,1724423015128,4,-93,-12,-63,3,3f,NaN,0,63.7051051618636
41351,267.92,1,-96.2952077,32.9794901,168.599548339844,139.176584342924,1724423016128,4,-93,-12,-63,3,3f,NaN,0,63.7051051618636
41352,267.92,1,-96.2952077,32.9794901,168.599548339844,139.176584342924,1724423017127,4,-89,-12,-57,3,3f,NaN,0.0109753729383023,63.7160805348019
41353,267.92,1,-96.2952077,32.9794900012961,168.599594116211,139.176584342924,1724423018128,4,-89,-12,-57,3,3f,NaN,0.000144119856097077,63.716224654658
41354,267.92,1,-96.2952077,32.97949,168.599594116211,139.176584342924,1724423019133,4,-89,-12,-61,3,3f,NaN,0,63.716224654658
41355,267.92,1,-96.2952077,32.97949,168.599594116211,139.176584342924,1724423020137,4,-89,-12,-61,3,3f,NaN,0,63.716224654658
41356,267.92,1,-96.2952077,32.97949,168.599594116211,139.176584342924,1724423021137,2,-90,-12,-59,3,3f,NaN,0,63.716224654658
41357,267.92,1,-96.2952077,32.97949,168.599594116211,139.176584342924,1724423022138,2,-90,-12,-59,3,3f,NaN,0.00439502610045576,63.7206196807584
41358,267.92,1,-96.2952076528823,32.97949,168.599563598633,139.147279169476,1724423023139,3,-92,-14,-59,3,3f,NaN,0.00444834254193916,63.7250680233004
41359,267.92,1,-96.295207605193,32.97949,168.599548339844,139.117618422639,1724423024140,3,-92,-14,-59,3,3f,NaN,0.000484390647632398,63.725552413948
41360,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423025140,4,-90,-11,-61,3,3f,NaN,0,63.725552413948
41361,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423026147,4,-90,-11,-61,3,3f,NaN,0,63.725552413948
41362,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423027145,6,-89,-11,-59,3,3f,NaN,0,63.725552413948
41363,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423028154,6,-89,-11,-59,3,3f,NaN,0,63.725552413948
41364,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423029155,6,-88,-13,-57,3,3f,NaN,0,63.725552413948
41365,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423030154,6,-88,-13,-57,3,3f,NaN,0,63.725552413948
41366,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423031160,5,-88,-12,-57,3,3f,NaN,0,63.725552413948
41367,267.92,1,-96.2952076,32.97949,168.599548339844,139.114388631025,1724423032160,5,-88,-12,-57,3,3f,NaN,0,63.725552413948
41368,267.92,1,-96.2952076,32.97949,168.599548339844,139.131658079281,1724423033167,4,-93,-13,-61,3,3f,NaN,0,63.725552413948
41369,267.92,1,-96.2952076,32.97949,168.599548339844,139.149066657029,1724423034168,4,-93,-13,-61,3,3f,NaN,0,63.725552413948
41370,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423035172,5,-90,-12,-59,3,3f,NaN,0,63.725552413948
41371,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423036175,5,-90,-12,-59,3,3f,NaN,0,63.725552413948
41372,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423037175,4,-90,-13,-59,3,3f,NaN,0,63.725552413948
41373,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423038177,4,-90,-13,-59,3,3f,NaN,0,63.725552413948
41374,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423039179,5,-92,-12,-61,3,3f,NaN,0,63.725552413948
41375,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423040181,5,-92,-12,-61,3,3f,NaN,0,63.725552413948
41376,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423041182,5,-90,-11,-61,3,3f,NaN,0,63.725552413948
41377,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423042184,5,-90,-11,-61,3,3f,NaN,0,63.725552413948
41378,267.92,1,-96.2952076,32.97949,168.599548339844,139.166249149352,1724423043184,4,-91,-13,-59,3,3f,NaN,0.0261851154009249,63.7517375293489
41379,267.92,1,-96.2952076,32.9794902354884,168.599456787109,139.135982943392,1724423044191,4,-91,-13,-59,3,3f,NaN,0.02626384129699,63.7780013706459
41380,267.92,1,-96.2952076,32.9794904716848,168.599380493164,139.105625756853,1724423045192,4,-90,-11,-59,3,3f,NaN,0.00314850648399438,63.7811498771299
41381,267.92,1,-96.2952076,32.9794905,168.599365234375,139.101986533691,1724423046201,4,-90,-11,-59,3,3f,NaN,0,63.7811498771299
41382,267.92,1,-96.2952076,32.9794905,168.599365234375,139.101986533691,1724423047199,5,-91,-12,-61,3,3f,NaN,0,63.7811498771299
41383,267.92,1,-96.2952076,32.9794905,168.599365234375,139.101986533691,1724423048200,5,-91,-12,-61,3,3f,NaN,0.010996811961904,63.7921466890918
41384,267.92,1,-96.2952076,32.9794905988967,168.599319458008,139.101986533691,1724423049201,5,-91,-12,-61,3,3f,NaN,0.000122680832495333,63.7922693699243
41385,267.92,1,-96.2952076,32.9794906,168.599319458008,139.101986533691,1724423050202,5,-91,-12,-61,3,3f,NaN,0,63.7922693699243
41386,267.92,1,-96.2952076,32.9794906,168.599319458008,139.101986533691,1724423051203,5,-90,-12,-59,3,3f,NaN,0,63.7922693699243
41387,267.92,1,-96.2952076,32.9794906,168.599319458008,139.101986533691,1724423052203,5,-90,-12,-59,3,3f,NaN,0,63.7922693699243
41388,267.92,1,-96.2952076,32.9794906,168.599319458008,139.101986533691,1724423053208,4,-93,-12,-63,3,3f,NaN,0,63.7922693699243
41389,267.92,1,-96.2952076,32.9794906,168.599319458008,139.101986533691,1724423054207,4,-93,-12,-63,3,3f,NaN,0.00439553906006671,63.7966649089844
41390,267.92,1,-96.2952076471232,32.9794906,168.599349975586,139.112965702398,1724423055208,5,-90,-13,-59,3,3f,NaN,0.00446206332325858,63.8011269723076
41391,267.92,1,-96.2952076949596,32.9794906,168.599365234375,139.124111054284,1724423056214,5,-90,-13,-59,3,3f,NaN,0.000470156843317562,63.8015971291509
41392,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423057213,5,-89,-13,-59,3,3f,NaN,0,63.8015971291509
41393,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423058223,5,-89,-13,-59,3,3f,NaN,0,63.8015971291509
41394,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423059224,5,-91,-13,-61,3,3f,NaN,0,63.8015971291509
41395,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423060227,5,-91,-13,-61,3,3f,NaN,0,63.8015971291509
41396,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423061233,5,-91,-12,-61,3,3f,NaN,0,63.8015971291509
41397,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423062233,5,-91,-12,-61,3,3f,NaN,0,63.8015971291509
41398,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423063235,3,-89,-12,-57,3,3f,NaN,0,63.8015971291509
41399,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423064242,3,-89,-12,-57,3,3f,NaN,0,63.8015971291509
41400,267.92,1,-96.2952077,32.9794906,168.599365234375,139.125285415417,1724423065241,4,-92,-13,-61,3,3f,NaN,0.0136374938597227,63.8152346230107
41401,267.92,1,-96.2952077939623,32.9794906939623,168.599365234375,139.138703940066,1724423066247,4,-92,-13,-61,3,3f,NaN,0.0137333280421888,63.8289679510529
41402,267.92,1,-96.2952078885849,32.9794907885849,168.599365234375,139.152216771615,1724423067250,4,-91,-14,-59,3,3f,NaN,0.0016567640996108,63.8306247151525
41403,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423068248,4,-91,-14,-59,3,3f,NaN,0,63.8306247151525
41404,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423069248,3,-90,-12,-61,3,3f,NaN,0,63.8306247151525
41405,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423070249,3,-90,-12,-61,3,3f,NaN,0,63.8306247151525
41406,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423071251,4,-90,-13,-59,3,3f,NaN,0,63.8306247151525
41407,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423072256,4,-90,-13,-59,3,3f,NaN,0,63.8306247151525
41408,267.92,1,-96.2952079,32.9794908,168.599365234375,139.153846933746,1724423073256,3,-91,-14,-59,3,3f,NaN,0,63.8306247151525
