ci,mcc,mnc,tac,lat,lon,range
133204814,310,410,28171,-1.0,-1.0,-1.0
133204745,310,410,28171,34.236835,-99.444253,8721.0
133246474,310,410,28171,34.207696,-99.381539,7673.0
133204815,310,410,28171,34.246868,-99.469528,1000.0
133204787,310,410,28171,34.237525,-99.445003,6049.0
133204759,310,410,28171,-1.0,-1.0,-1.0
133204759,310,410,28171,-1.0,-1.0,-1.0
133216278,310,410,28171,-1.0,-1.0,-1.0
133206550,310,410,28171,34.145532,-99.216235,1000.0
133204745,310,410,28171,34.236835,-99.444253,8721.0
133246481,310,410,28171,34.192337,-99.3479,1000.0
133246474,310,410,28171,34.207696,-99.381539,7673.0
133246472,310,410,28171,34.160627,-99.289889,1000.0
133160207,310,410,28171,34.1598,-99.279053,1000.0
133205397,310,410,28171,-1.0,-1.0,-1.0
133246613,310,410,28171,-1.0,-1.0,-1.0
133205327,310,410,28171,34.143951,-99.209473,1000.0
133206606,310,410,28171,-1.0,-1.0,-1.0
133205398,310,410,28171,-1.0,-1.0,-1.0
133206677,310,410,28171,-1.0,-1.0,-1.0
133205775,310,410,28171,34.13258,-99.138043,1000.0
133205777,310,410,28171,-1.0,-1.0,-1.0
133160408,310,410,28171,-1.0,-1.0,-1.0
133205768,310,410,28171,34.121565,-99.127492,4936.0
133205909,310,410,28171,-1.0,-1.0,-1.0
133205910,310,410,28171,-1.0,-1.0,-1.0
133205910,310,410,28171,-1.0,-1.0,-1.0
133205769,310,410,28171,34.090925,-99.054878,2569.0
10289958,310,410,28171,-1.0,-1.0,-1.0
10275223,310,410,28171,-1.0,-1.0,-1.0
10275222,310,410,28171,-1.0,-1.0,-1.0
134552358,310,410,28171,-1.0,-1.0,-1.0
10289957,310,410,28171,-1.0,-1.0,-1.0
134007078,310,410,28171,33.896904,-98.553795,1000.0
134652696,310,410,28171,33.97039,-98.750969,1000.0
10289943,310,410,28171,34.036209,-98.904564,1000.0
135669770,310,410,28171,33.968714,-98.721021,8919.0
134007050,310,410,28171,33.981589,-98.801089,3365.0
134652682,310,410,28171,33.972404,-98.758027,5778.0
134652696,310,410,28171,33.97039,-98.750969,1000.0
133186582,310,410,28171,-1.0,-1.0,-1.0
134652694,310,410,28171,-1.0,-1.0,-1.0
135669784,310,410,28171,-1.0,-1.0,-1.0
135669783,310,410,28171,-1.0,-1.0,-1.0
134031896,310,410,28171,-1.0,-1.0,-1.0
134007064,310,410,28171,-1.0,-1.0,-1.0
135669797,310,410,28171,-1.0,-1.0,-1.0
134007078,310,410,28171,33.896904,-98.553795,1000.0
134016266,310,410,28171,33.952806,-98.580889,4182.0
134007050,310,410,28171,33.981589,-98.801089,3365.0
134031882,310,410,28171,-1.0,-1.0,-1.0
135669769,310,410,28171,33.961073,-98.635999,3102.0
134016407,310,410,28171,-1.0,-1.0,-1.0
134016265,310,410,28171,33.946671,-98.534261,1000.0
134031370,310,410,28171,33.937598,-98.520936,1660.0
134031511,310,410,28171,-1.0,-1.0,-1.0
134015381,310,410,28171,-1.0,-1.0,-1.0
135118229,310,410,28171,-1.0,-1.0,-1.0
134014871,310,410,28171,-1.0,-1.0,-1.0
134031510,310,410,28171,-1.0,-1.0,-1.0
134031765,310,410,28171,-1.0,-1.0,-1.0
134031766,310,410,28171,-1.0,-1.0,-1.0
134021144,310,410,28171,-1.0,-1.0,-1.0
134021142,310,410,28171,-1.0,-1.0,-1.0
134021142,310,410,28171,-1.0,-1.0,-1.0
134655512,310,410,28171,33.875126,-98.382538,1000.0
134655511,310,410,28171,-1.0,-1.0,-1.0
134014999,310,410,28171,-1.0,-1.0,-1.0
134015013,310,410,28171,33.830611,-98.255613,1721.0
134551050,310,410,28171,33.818143,-98.224354,1365.0
134551049,310,410,28171,33.79139,-98.177819,4241.0
134551190,310,410,28171,-1.0,-1.0,-1.0
134016151,310,410,28171,-1.0,-1.0,-1.0
134016037,310,410,28171,33.663754,-98.057651,1781.0
10312970,310,410,28171,33.640348,-98.020389,6751.0
10271127,310,410,28171,-1.0,-1.0,-1.0
10271127,310,410,28171,-1.0,-1.0,-1.0
10271126,310,410,28171,-1.0,-1.0,-1.0
133677205,310,410,28170,-1.0,-1.0,-1.0
134676746,310,410,28170,33.580988,-97.903032,1640.0
133231624,310,410,28170,33.568959,-97.887807,1000.0
135070481,310,410,28170,-1.0,-1.0,-1.0
135070681,310,410,28170,-1.0,-1.0,-1.0
135070680,310,410,28170,-1.0,-1.0,-1.0
133673943,310,410,28170,-1.0,-1.0,-1.0
135070614,310,410,28170,-1.0,-1.0,-1.0
133673878,310,410,28170,-1.0,-1.0,-1.0
