population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.58814526370524,35.17258826013645,1205.9905861280422,1724263139219.0,6.0,-109,-12,-77,
1.0,7.0,-103.58814526370524,35.17258826013645,1205.9905861280422,1724263139219.0,6.0,-103,-14,-75,
1.0,7.0,-103.58814526370524,35.17258826013645,1205.9905861280422,1724263139219.0,6.0,-106,-14,-85,
1.0,7.0,-103.5877565748571,35.17258352476999,1206.2415658684502,1724263140220.0,7.0,-111,-12,-81,
1.0,7.0,-103.5877565748571,35.17258352476999,1206.2415658684502,1724263140220.0,7.0,-101,-13,-75,
1.0,7.0,-103.5877565748571,35.17258352476999,1206.2415658684502,1724263140220.0,7.0,-101,-12,-67,
1.0,7.0,-103.5873665212156,35.17257877277636,1206.4934268676918,1724263141224.0,7.0,-111,-12,-81,
1.0,7.0,-103.5873665212156,35.17257877277636,1206.4934268676918,1724263141224.0,7.0,-101,-13,-75,
1.0,7.0,-103.5873665212156,35.17257877277636,1206.4934268676918,1724263141224.0,7.0,-101,-12,-67,
1.0,7.0,-103.58697730197672,35.17257403094819,1206.744749085953,1724263142226.0,6.0,-110,-12,-79,
1.0,7.0,-103.58697730197672,35.17257403094819,1206.744749085953,1724263142226.0,6.0,-102,-11,-81,
1.0,7.0,-103.58697730197672,35.17257403094819,1206.744749085953,1724263142226.0,6.0,-108,-13,-85,
1.0,7.0,-103.58658809803312,35.17256928930637,1206.9960614279291,1724263143228.0,6.0,-114,-15,-81,
1.0,7.0,-103.58658809803312,35.17256928930637,1206.9960614279291,1724263143228.0,6.0,-103,-12,-81,
1.0,7.0,-103.58658809803312,35.17256928930637,1206.9960614279291,1724263143228.0,6.0,-105,-15,-83,
1.0,7.0,-103.58619918223906,35.17256455117504,1207.247187709279,1724263144229.0,5.0,-105,-11,-67,
1.0,7.0,-103.58619918223906,35.17256455117504,1207.247187709279,1724263144229.0,5.0,-113,-13,-93,
1.0,7.0,-103.58619918223906,35.17256455117504,1207.247187709279,1724263144229.0,5.0,-114,-13,-89,
1.0,7.0,-103.58580874626722,35.17255979452351,1207.4992955825178,1724263145234.0,5.0,-102,-13,-69,
1.0,7.0,-103.58580874626722,35.17255979452351,1207.4992955825178,1724263145234.0,5.0,-112,-11,-89,
1.0,7.0,-103.58580874626722,35.17255979452351,1207.4992955825178,1724263145234.0,5.0,-109,-10,-89,
1.0,7.0,-103.5854195547058,35.17255505303253,1207.750599929204,1724263146236.0,5.0,-102,-13,-69,
1.0,7.0,-103.5854195547058,35.17255505303253,1207.750599929204,1724263146236.0,5.0,-112,-11,-89,
1.0,7.0,-103.5854195547058,35.17255505303253,1207.750599929204,1724263146236.0,5.0,-109,-10,-89,
1.0,7.0,-103.58503069446944,35.172550315578064,1208.0016903364694,1724263147237.0,5.0,-102,-13,-69,
1.0,7.0,-103.58503069446944,35.172550315578064,1208.0016903364694,1724263147237.0,5.0,-112,-11,-89,
1.0,7.0,-103.58503069446944,35.172550315578064,1208.0016903364694,1724263147237.0,5.0,-109,-10,-89,
1.0,7.0,-103.58464237138182,35.17254558466764,1208.2524339021463,1724263148236.0,7.0,-107,-12,-77,
1.0,7.0,-103.58464237138182,35.17254558466764,1208.2524339021463,1724263148236.0,7.0,-113,-12,-91,
1.0,7.0,-103.58464237138182,35.17254558466764,1208.2524339021463,1724263148236.0,7.0,-114,-13,-91,
1.0,7.0,-103.58424599233318,35.17254550737407,1208.1760896085336,1724263149239.0,7.0,-107,-12,-77,
1.0,7.0,-103.58424599233318,35.17254550737407,1208.1760896085336,1724263149239.0,7.0,-113,-12,-91,
1.0,7.0,-103.58424599233318,35.17254550737407,1208.1760896085336,1724263149239.0,7.0,-114,-13,-91,
1.0,7.0,-103.58384019021756,35.17255205450117,1207.6345576298393,1724263150241.0,6.0,-102,-12,-71,
1.0,7.0,-103.58384019021756,35.17255205450117,1207.6345576298393,1724263150241.0,6.0,-114,-12,-93,
1.0,7.0,-103.58384019021756,35.17255205450117,1207.6345576298393,1724263150241.0,6.0,-108,-11,-87,
1.0,7.0,-103.5834334814066,35.1725586162567,1207.0918156906907,1724263151244.0,6.0,-102,-12,-71,
1.0,7.0,-103.5834334814066,35.1725586162567,1207.0918156906907,1724263151244.0,6.0,-114,-12,-93,
1.0,7.0,-103.5834334814066,35.1725586162567,1207.0918156906907,1724263151244.0,6.0,-108,-11,-87,
1.0,7.0,-103.58302555658238,35.17256519763114,1206.5474510146248,1724263152249.0,6.0,-101,-13,-73,
1.0,7.0,-103.58302555658238,35.17256519763114,1206.5474510146248,1724263152249.0,6.0,-116,-15,-89,
1.0,7.0,-103.58302555658238,35.17256519763114,1206.5474510146248,1724263152249.0,6.0,-111,-13,-85,
1.0,7.0,-103.58261873950094,35.17257176113348,1206.0045645914372,1724263153254.0,6.0,-101,-13,-73,
1.0,7.0,-103.58261873950094,35.17257176113348,1206.0045645914372,1724263153254.0,6.0,-116,-15,-89,
1.0,7.0,-103.58261873950094,35.17257176113348,1206.0045645914372,1724263153254.0,6.0,-111,-13,-85,
1.0,7.0,-103.58221331456996,35.17257830217516,1205.4635359554657,1724263154254.0,6.0,-100,-13,-67,
1.0,7.0,-103.58221331456996,35.17257830217516,1205.4635359554657,1724263154254.0,6.0,-112,-15,-85,
1.0,7.0,-103.58221331456996,35.17257830217516,1205.4635359554657,1724263154254.0,6.0,-107,-12,-85,
