"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35061970701","NM","35061970701","=""35061970701""","2103","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970800","NM","35061970800","=""35061970800""","2105","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970901","NM","35061970901","=""35061970901""","2090","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970902","NM","35061970902","=""35061970902""","796","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061971000","NM","35061971000","=""35061971000""","1982","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061971100","NM","35061971100","=""35061971100""","604","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061971301","NM","35061971301","=""35061971301""","840","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061980100","NM","35061980100","=""35061980100""","21","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061980200","NM","35061980200","=""35061980200""","0","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061980300","NM","35061980300","=""35061980300""","0","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061980400","NM","35061980400","=""35061980400""","0","2019-2023","2022","Census","New Mexico (State)"
